Wilayah,D1-D4,S1,S2,S3,Profesi,Spesialis,Jumlah Dosen Tetap
Seluruh Indonesia,1274,15082,160963,34589,1421,2389,215718
Aceh,74,752,4511,676,37,77,6127
Bali,17,234,4260,1044,33,84,5672
Kep. Bangka Belitung,22,30,424,28,2,0,506
Banten,18,485,6338,719,18,92,7670
Bengkulu,25,156,1383,315,28,1,1908
Gorontalo,0,76,1046,232,3,1,1358
Papua Barat,1,156,898,114,1,0,1170
DKI Jakarta,68,1548,17603,4246,77,477,24019
Jambi,9,86,1731,266,20,3,2115
Jawa Barat,153,1869,18874,5674,115,179,26864
Jawa Tengah,122,813,13676,2850,151,165,17777
Jawa Timur,193,1204,21475,4813,137,450,28272
Kalimantan Barat,12,118,2062,349,13,6,2560
Kalimantan Selatan,34,207,2354,377,20,23,3015
Kalimantan Tengah,7,141,1024,200,4,3,1379
Kalimantan Timur,16,224,2456,399,17,11,3123
Kalimantan Utara,3,50,300,36,4,0,393
Kep. Riau,5,52,1439,101,7,21,1625
Lampung,34,544,3210,539,61,58,4446
Maluku Utara,0,125,1151,122,0,8,1406
Maluku,2,263,1581,282,10,9,2147
Nusa Tenggara Barat,18,264,3287,404,58,35,4066
Nusa Tenggara Timur,7,247,3040,321,12,4,3631
Papua,2,258,1387,214,12,10,1883
Riau,27,97,3411,522,12,37,4106
Sulawesi Barat,5,173,474,26,19,1,698
Sulawesi Selatan,62,1123,7227,2397,241,69,11119
Sulawesi Tengah,8,312,2012,456,41,5,2834
Sulawesi Tenggara,9,313,2082,438,39,0,2881
Sulawesi Utara,15,546,2746,767,42,48,4164
Sumatera Barat,91,271,5169,1153,38,105,6827
Sumatera Selatan,25,326,4443,624,45,45,5508
Sumatera Utara,171,1624,9598,1184,72,244,12893
DI Yogyakarta,19,395,8291,2701,32,118,11556
