Provinsi,Tanpa Jabatan,Asisten Ahli,Lektor,Lektor Kepala,Guru Besar
Aceh,4268,1752,1427,793,66
Bali,1909,1387,1618,1362,229
Kep. Bangka Belitung,360,171,124,8,1
Banten,5327,2292,1212,291,44
Bengkulu,818,407,416,502,40
Gorontalo,665,418,402,197,37
Papua Barat,799,418,239,65,4
DKI Jakarta,11188,7233,6581,2423,651
Jambi,862,685,541,333,32
Jawa Barat,12592,8391,6698,3183,838
Jawa Tengah,7218,4829,4219,3131,446
Jawa Timur,14132,7109,6211,3887,837
Kalimantan Barat,1074,762,630,456,30
Kalimantan Selatan,1763,808,774,466,39
Kalimantan Tengah,746,311,408,292,26
Kalimantan Timur,1838,844,736,496,56
Kalimantan Utara,239,112,97,1,1
Kep. Riau,783,633,360,27,3
Lampung,264,1181,837,496,70
Maluku Utara,837,489,433,138,5
Maluku,760,613,860,276,37
Nusa Tenggara Barat,1580,1500,1155,366,42
Nusa Tenggara Timur,1797,1016,1089,308,23
Papua,1253,604,593,76,12
Riau,1494,1361,1240,489,75
Sulawesi Barat,754,206,33,7,1
Sulawesi Selatan,5456,3094,2355,1804,460
Sulawesi Tengah,1551,762,642,422,46
Sulawesi Tenggara,1699,791,686,330,72
Sulawesi Utara,1371,907,1270,1010,125
Sumatera Barat,2139,1888,2013,1350,231
Sumatera Selatan,2703,1900,1265,687,98
Sumatera Utara,6782,3693,3246,1540,269
DI Yogyakarta,3972,3207,3080,1718,523
Indonesia,100993,61774,53490,28930,5469
