Provinsi,Negeri_2012/2013,Swasta_2012/2013,Jumlah_2012/2013,Negeri_2013/2014,Swasta_2013/2014,Jumlah_2013/2014,Negeri_2014/2015,Swasta_2014/2015,Jumlah_2014/2015,Negeri_2015/2016,Swasta_2015/2016,Jumlah_2015/2016,Negeri_2016/2017,Swasta_2016/2017,Jumlah_2016/2017,Negeri_2017/2018,Swasta_2017/2018,Jumlah_2017/2018
Indonesia,60535,144398,207507,87533,143382,230915,68122,145798,213920,73364,170725,244089,73607,173662,247269,75892,177140,253032
DKI Jakarta,5402,26271,31673,6006,20897,26903,4210,20040,24250,4462,23175,27637,4448,23671,28119,4464,23612,28076
Jawa Barat,6057,21955,28012,9067,19605,28672,7192,19990,27182,7765,23089,30854,7775,23454,31229,7999,23703,31702
Banten,425,4097,4522,807,4102,4909,562,4833,5395,622,6975,7597,641,7339,7980,689,8477,9166
Jawa Tengah,6578,16026,22604,8170,11378,19548,6068,11292,17360,6321,12758,19079,6297,13010,19307,6355,13488,19843
DI Yogyakarta,3685,9955,13640,4623,6826,11449,3981,6741,10722,4406,7541,11947,4457,7759,12216,4542,7958,12500
Jawa Timur,7470,13322,20792,10934,18088,29022,8925,17740,26665,9687,20986,30673,9725,21176,30901,10367,21809,32176
Aceh,2032,3518,5550,3361,4835,8196,2794,4408,7202,3202,4702,7904,3235,4750,7985,3387,4919,8306
Sumatera Utara,2759,9379,12138,4155,10628,14783,2833,10875,13708,2891,12539,15430,2877,12600,15477,2903,12627,15530
Sumatera Barat,2928,2770,5698,3925,3492,7417,3052,3743,6795,3194,4365,7559,3317,4395,7712,3348,4273,7621
Riau,973,1814,2787,2025,2757,4782,1251,2886,4137,1331,3388,4719,1342,3418,4760,1369,3290,4659
Kep. Riau,105,984,1089,122,950,1072,214,1054,1268,284,1443,1727,303,1496,1799,342,1464,1806
Jambi,687,1168,1855,1296,1443,2739,803,1290,2093,936,1533,2469,948,1554,2502,957,1496,2453
Sumatera Selatan,1458,4767,6225,2193,4168,6361,1609,4510,6119,1779,5042,6821,1782,5080,6862,1774,4879,6653
Kep. Bangka Belitung,38,469,507,266,244,510,192,325,517,222,359,581,231,371,602,253,411,664
Bengkulu,707,2127,2834,1087,1016,2103,734,1131,1865,813,1288,2101,812,1292,2104,863,1320,2183
Lampung,1296,1511,2807,1655,2707,4362,1354,2805,4159,1496,3355,4851,1491,3365,4856,1802,3422,5224
Kalimantan Barat,1144,1086,2230,1571,1335,2906,1297,1426,2723,1376,1467,2843,1379,1499,2878,1428,1524,2952
Kalimantan Tengah,740,727,1467,1084,808,1892,762,852,1614,780,981,1761,735,968,1703,802,981,1783
Kalimantan Selatan,1483,1346,2829,1696,1723,3419,1258,1776,3034,1387,2252,3639,1396,2325,3721,1416,2434,3850
Kalimantan Timur,1212,2428,3640,1740,1875,3615,1547,1918,3465,1570,2171,3741,1604,2191,3795,1664,2306,3970
Kalimantan Utara,0,0,0,0,0,0,0,0,0,225,155,380,221,167,388,267,183,450
Sulawesi Utara,2988,1152,4140,3401,1394,4795,2928,1431,4359,2956,1663,4619,2923,1711,4634,2876,1807,4683
Gorontalo,606,286,892,870,621,1491,684,732,1416,748,957,1705,741,978,1719,750,969,1719
Sulawesi Tengah,1116,963,2079,1530,1635,3165,1232,1693,2925,1336,1945,3281,1359,1953,3312,1413,2010,3423
Sulawesi Selatan,286,6494,9354,4681,7808,12489,3047,8534,11581,3240,9998,13238,3232,10157,13389,3217,9952,13169
Sulawesi Barat,0,296,296,0,513,513,145,565,710,232,633,865,232,651,883,268,733,1001
Sulawesi Tenggara,910,899,1809,1330,1580,2910,1190,1709,2899,1476,1809,3285,1522,1855,3377,1635,1943,3578
Maluku,1374,667,2041,1607,856,2463,1409,915,2324,1429,985,2414,1418,1017,2435,1410,1136,2546
Maluku Utara,465,700,1165,567,958,1525,540,929,1469,579,1160,1739,571,1197,1768,603,1299,1902
Bali,2407,1599,4006,3209,2500,5709,2636,2665,5301,2883,3343,6226,2859,3397,6256,2842,3663,6505
Nusa Tenggara Barat,979,2276,3255,1437,2814,4251,1028,2939,3967,1081,3615,4696,1074,3628,4702,1081,3562,4643
Nusa Tenggara Timur,1294,1363,2657,1504,1905,3409,1285,2068,3353,1331,2618,3949,1331,2717,4048,1389,2844,4233
Papua,473,1418,1891,993,1323,2316,857,1339,2196,794,1553,2347,796,1599,2395,873,1665,2538
Papua Barat,458,565,1023,621,598,1219,503,644,1147,530,882,1412,533,922,1455,544,981,1525
