Wilayah,Jumlah Mahasiswa,Putus Kuliah,Persentase,Kode_Wilayah,Jumlah Mahasiswa Baru,Lulusan,Provinsi
Aceh,64382,4440,6.9,#009797,25034,21336,Aceh
Bali,79842,1625,2.04,#009797,26269,19846,Bali
Kep Babel,7015,330,4.7,#009797,2841,1719,Kep. Bangka Belitung
Banten,239205,9979,4.17,#009797,59084,35096,Banten
Bengkulu,27489,513,1.87,#009797,10300,7034,Bengkulu
Gorontalo,23048,133,0.58,#009797,9411,5276,Gorontalo
Papua Barat,25095,2898,11.55,#009797,6073,3772,Papua Barat
Jakarta,615236,47170,7.67,#009797,272958,187005,DKI Jakarta
Jambi,33859,3067,9.06,#009797,12617,9696,Jambi
Jabar,653271,23157,3.54,#009797,182431,145706,Jawa Barat
Jateng,399511,10632,2.66,#009797,127540,98888,Jawa Tengah
Jatim,521475,23906,4.58,#009797,180677,145387,Jawa Timur
Kalbar,42184,4260,10.1,#009797,19132,13493,Kalimantan Barat
Kalsel,52452,4344,8.28,#009797,20143,16075,Kalimantan Selatan
Kalteng,17234,677,3.93,#009797,6601,4632,Kalimantan Tengah
Kaltim,51779,2402,4.64,#009797,16823,12853,Kalimantan Timur
Kalut,4183,134,3.2,#009797,2461,1387,Kalimantan Utara
Kep Riau,33916,3288,9.69,#009797,9079,7091,Kep. Riau
Lampung,76929,2299,2.99,#009797,24216,19486,Lampung
Malut,23517,432,1.84,#009797,6686,3696,Maluku Utara
Maluku,21173,1800,8.5,#009797,9026,6984,Maluku
NTB,62414,2940,4.71,#009797,17543,14719,Nusa Tenggara Barat
NTT,62908,2019,3.21,#009797,23481,13607,Nusa Tenggara Timur
Papua,43417,1026,2.36,#009797,14553,6940,Papua
Riau,94254,14401,15.28,#009797,27425,22076,Riau
Sulbar,15608,503,3.22,#009797,4769,2822,Sulawesi Barat
Sulsel,264000,3857,1.46,#009797,68525,59567,Sulawesi Selatan
Sulteng,48883,509,1.04,#009797,17451,10523,Sulawesi Tengah
Sultra,43838,696,1.59,#009797,18795,10390,Sulawesi Tenggara
Sulut,32528,1208,3.71,#009797,18422,12414,Sulawesi Utara
Sumbar,93107,812,0.87,#009797,40762,34882,Sumatera Barat
Sumsel,100037,4128,4.13,#009797,30864,27405,Sumatera Selatan
Sumut,331321,22525,6.8,#009797,78333,67364,Sumatera Utara
Yogya,253911,8495,3.35,#009797,81831,64208,DI Yogyakarta
Rerata Nasional,131148,6194,4.83,#9e1a1a,43299,32746,Rerata Indonesia
