Provinsi,Akreditasi_A,Akreditasi_B,Akreditasi_C,
DKI Jakarta,495,1019,465,1979
Jawa Barat,657,1328,715,2700
Banten,35,324,238,597
Jawa Tengah,422,1094,397,1913
DI Yogyakarta,466,493,82,1041
Jawa Timur,618,1692,741,3051
Aceh,46,361,222,629
Sumatera Utara,108,654,502,1264
Sumatera Barat,88,446,131,665
Riau,53,293,98,444
Kepulauan Riau,7,89,60,156
Jambi,8,162,102,272
Sumatera Selatan,46,341,151,538
Bangka Belitung,0,31,27,58
Bengkulu,20,135,45,200
Lampung,46,268,118,432
Kalimantan Barat,11,163,97,271
Kalimantan Tengah,0,77,73,150
Kalimantan Selatan,23,199,65,287
Kalimantan Timur,6,181,113,300
Kalimantan Utara,0,17,12,29
Sulawesi Utara,20,165,139,324
Gorontalo,10,120,28,158
Sulawesi Tengah,2,116,114,232
Sulawesi Selatan,157,565,347,1069
Sulawesi Barat,0,9,69,78
Sulawesi Tenggara,13,114,125,252
Maluku,7,90,82,179
Maluku Utara,1,75,66,142
Bali,78,281,83,442
Nusa Tenggara Barat,10,182,162,354
Nusa Tenggara Timur,2,158,142,302
Papua,1,117,140,258
Papua Barat,0,65,68,133
